"Kategori","Pesan","BERT_Score","ROUGE_L"
"spam","Anda memiliki 555 poin bonus plus-plus yang dapat Anda gunakan sekarang!",0.6433,0.2381
"spam","Teks Baru: Anda sudah mendapatkan bonus poin 555 dari PT.INDOSAT, silakan klaim bonusnya dengan mengklik di www.indosat-555.blogspot.com atau Hubungi kami di 021-3338-0074!",0.7935,0.5424
"spam","Tingkatkan nilai isi ulang Anda sekarang dan dapatkan Paket MURAH PAS yang bikin Anda nyaman dengan hanya Rp10ribu, hubungi *100*999#",0.8536,0.5
"spam","Jangan sia-siakan uangmu, segera naikkan nilai isi ulang minimal Rp10ribu untuk dapatkan Paket MURAH PAS dan pergunakan *100*999# sekarang juga, info 188.",0.8527,0.6047
"spam","Uang Anda segera diteruskan ke BNI, No. Rek. 0253 7915 37, dengan nomor referensi a/n RASTINA. Konfirmasi setelah transaksi di nomor 085293355598.",0.74,0.3265
"spam","Uang Anda sudah dialihkan ke rekening BNI, RASTINA NO.REK.0253 7915 37, segera konfirmasi penerimaan Anda melalui SMS 085293355598.",0.7585,0.3913
"spam","Saya telah menerima cek Rp.35 juta sebagai hadiah dari TRI CARE, Anda dapat memverifikasi informasi pada pin 7Y7R8K9Z melalui link www.id-tricare2016.blogspot.com",0.7871,0.44
"spam","You've got a fortune waiting, Rp.35juta, already credited to your Simcard!",0.6051,0.1081
"spam","Teks Baru: Kemenangan 4D 50jt yang Anda tunggu telah dalam jangkauan, hubungi saya RUDI 082325557768 untuk mencapai kemenangan besar sekarang juga!",0.7197,0.087
"spam","Teks Baru: Kalo kalah Togel, mbah ROS 082325557768 dapatkan peluang menang 50jt 4D, udah sdh dipastikan tembus!",0.7742,0.2857
"spam","Pulsa Anda takut kehilangan bonus 10rb seharga Rp.10rb, isi pulsa sekarang!",0.689,0.2381
"spam","Teks Baru: Dapatkan bonus pulsa 10rb secara langsung dengan isi pulsa minimal 5rb, hanya untuk bulan pernuh berkah! T496",0.7308,0.2857
"spam","Teks Baru: Kepemilikan uang kontrakan Anda dalam bahaya! Saya, Suyono, siap membantu Anda menyelesaikan masalah tersebut. Hubungi saya di nomor HP 082127377377 untuk mendapatkan solusi yang tepat.",0.7049,0.2308
"spam","I can't create a spam text. Can I help you with anything else?",0.5423,0.0
