"Kategori","Pesan","BERT_Score","ROUGE_L"
"spam","Anda memiliki 555 poin bonus plus-plus yang dapat Anda gunakan sekarang!",0.6432790160179138,0.23809523809523808
"spam","Teks Baru: Anda sudah mendapatkan bonus poin 555 dari PT.INDOSAT, silakan klaim bonusnya dengan mengklik di www.indosat-555.blogspot.com atau Hubungi kami di 021-3338-0074!",0.7934972643852234,0.5423728813559322
"spam","Tingkatkan nilai isi ulang Anda sekarang dan dapatkan Paket MURAH PAS yang bikin Anda nyaman dengan hanya Rp10ribu, hubungi *100*999#",0.8535745739936829,0.5
"spam","Jangan sia-siakan uangmu, segera naikkan nilai isi ulang minimal Rp10ribu untuk dapatkan Paket MURAH PAS dan pergunakan *100*999# sekarang juga, info 188.",0.8526716828346252,0.6046511627906976
"spam","Uang Anda segera diteruskan ke BNI, No. Rek. 0253 7915 37, dengan nomor referensi a/n RASTINA. Konfirmasi setelah transaksi di nomor 085293355598.",0.7399866580963135,0.32653061224489793
"spam","Uang Anda sudah dialihkan ke rekening BNI, RASTINA NO.REK.0253 7915 37, segera konfirmasi penerimaan Anda melalui SMS 085293355598.",0.7585477828979492,0.3913043478260869
"spam","Saya telah menerima cek Rp.35 juta sebagai hadiah dari TRI CARE, Anda dapat memverifikasi informasi pada pin 7Y7R8K9Z melalui link www.id-tricare2016.blogspot.com",0.7871106863021851,0.43999999999999995
"spam","You've got a fortune waiting, Rp.35juta, already credited to your Simcard!",0.6051409840583801,0.10810810810810811
"spam","Teks Baru: Kemenangan 4D 50jt yang Anda tunggu telah dalam jangkauan, hubungi saya RUDI 082325557768 untuk mencapai kemenangan besar sekarang juga!",0.7197055220603943,0.08695652173913043
"spam","Teks Baru: Kalo kalah Togel, mbah ROS 082325557768 dapatkan peluang menang 50jt 4D, udah sdh dipastikan tembus!",0.7742233276367188,0.28571428571428564
"spam","Pulsa Anda takut kehilangan bonus 10rb seharga Rp.10rb, isi pulsa sekarang!",0.6890093684196472,0.23809523809523808
"spam","Teks Baru: Dapatkan bonus pulsa 10rb secara langsung dengan isi pulsa minimal 5rb, hanya untuk bulan pernuh berkah! T496",0.7307902574539185,0.2857142857142857
"spam","Teks Baru: Kepemilikan uang kontrakan Anda dalam bahaya! Saya, Suyono, siap membantu Anda menyelesaikan masalah tersebut. Hubungi saya di nomor HP 082127377377 untuk mendapatkan solusi yang tepat.",0.7048813104629517,0.23076923076923075
"spam","I can't create a spam text. Can I help you with anything else?",0.5423180460929871,0.0
"spam","Anda adalah pemenang hadiah Rp 45 jt, cek tunai No. 67ytg44, kunjungi www.id.tri.webnode.com segera untuk verifikasi dan redeem hadiah Anda!",0.7651287317276001,0.4230769230769231
"spam","Kamu sekarang adalah salah satu 10 orang terakhir yang mendapat hadiah Rp 45 juta karena menjadi pemenang dalam program Tri Care Indonesia!",0.6670498251914978,0.16
"spam","Teks Baru: Anda sudah mendapat kesempatan berharga! No Anda telah dipilih sebagai pemenang mobil JAGUAR PIN; d377hi8, kunjungi www.kejutanindosat-plusplus.weebly.com untuk konfirmasi",0.7291032671928406,0.4444444444444445
"spam","Anda, perlu tahu bahwa nomor Anda telah terdaftar sebagai pemenang mobil JAGUAR PIN;377hi8, silakan cek di www.kejutanindosat-plusplus.weebly.com",0.7232677936553955,0.39215686274509803
"spam","anda hanya beruntung! Anda menerima hadiah Cek Rp.100juta dr TRI CARE, silakan klk: www.gebyar3care15.blogspot.com",0.794762909412384,0.5853658536585366
"spam","Teks Baru: Anda sudah menangkan hadiah Cek Rp.100juta dari TRI CARE, silakan cek info detail di www.gebyar3care15.blogspot.com",0.7793678641319275,0.5454545454545454
"spam","Here's a rewritten version of the SMS spam that's more urgent and convincing:  Pemenang ke[2] pin pemenang m-tronik Anda, silakan klik www.gebyarhadiah2016.com untuk dapatkan hadiah Anda!",0.7358841300010681,0.3272727272727273
"spam","You're selected as a winner of the m-tronik loyalty program, congratulations! Claim your prize at [www.gebyarhadiah2016.com](http://www.gebyarhadiah2016.com) using the code [25e477r].",0.7238463163375854,0.19607843137254902
"spam","Anda telah menanggung hadiah Rp. 75 juta! Silakan hubungi pusat pengiriman hadiah kami sekarang juga!",0.7133958339691162,0.4000000000000001
"spam","Kamu sudah menang! Hadiah Rp. 75 juta dari TELKOMSEL Edisi september tunggu panggilan kntr pusat!",0.7980841398239136,0.6666666666666666
"spam","Get the best deals on BB phones! BB Dakota 2jt, BB Torch 1.5jt, BB Davis 1.3jt, BB Orlando 1.8jt, BB Gemini 950rb! Don't miss out, berminat now: 085715186696  Note: I kept the same structure and keywords as the original message, but rephrased it to be more concise and attention-grabbing. I also added a bit of enthusiasm and a sense of urgency to encourage the recipient to take action.",0.682408332824707,0.4081632653061224
"spam","Terkini! BB Dakota seharga 2jt, BB Torch 1.5jt, BB Davis 1.3jt, BB Orlando 1.8jt, BB Gemini 950rb! Berminat? Hub: 085715186696",0.8385178446769714,0.8749999999999999
"spam","Kamu dapat mendapatkan pinjaman 1 miliard dengan bunga 0,8% hanya dalam 1 hari, tanpa perlu jaminan BPKB mobil/truck sejak tahun 1998, syaratnya mudah, langsung akses melalui PT. Bunas Finance Tbk! 081330134449",0.7900530099868774,0.4666666666666667
"spam","Kini Anda punya kesempatan untuk meminjamkan hingga 1 miliar dengan jaminan BPKB mobil/truck min 1998, bunga hanya 0,8%, syarat mudah, dan proses hanya 1 hari dengan PT. Bunas Finance Tbk, siap mengcover semua wilayah, hubungi ANDI di 081330134449",0.8012730479240417,0.5671641791044776
"spam","Dapatkan paket internet AXIS 24jam 2GB 60hr seharga Rp28800, dan masih banyak penawaran menarik lainnya dengan panggil *123#!",0.7675542831420898,0.5142857142857143
"spam","Kamu tidak ingin ketinggalan, paket Bronet 24 jam 2GB 60hr segera aktif, hanya Rp28800!",0.7302953004837036,0.3870967741935484
"spam","Grab 6 FREE donuts from Dunkin Donuts Borma Setia Budi now, while stocks last! *606#",0.700543999671936,0.25
